Config,Default Bytes,Detour Bytes,Default %,Detour %
"Core-limited, NAT          ",12833473,12784884,50.09%,49.91%
"Core-limited, VPN          ",12752000,9446808,57.44%,42.56%
"Core-limited, Lossy, NAT   ",5881969,12039468,32.82%,67.18%
"Core-limited, Lossy, VPN   ",5607324,8957956,38.50%,61.50%
"Core-limited, Delayed, NAT ",12572613,11800992,51.58%,48.42%
"Core-limited, Delayed, VPN ",12558642,10273609,55.00%,45.00%
"Symmetric, NAT             ",6997237,6083280,53.49%,46.51%
"Symmetric, VPN             ",10655479,2638377,80.15%,19.85%
"Symmetric, Lossy, NAT      ",859693,11737856,6.82%,93.18%
"Symmetric, Lossy, VPN      ",1885375,8912407,17.46%,82.54%
"Symmetric, Delayed, NAT    ",2380513,11062716,17.71%,82.29%
"Symmetric, Delayed, VPN    ",6502281,5990180,52.05%,47.95%
